PubmedID,Title,Publication Date,Non-academicAuthor(s),CompanyAffiliation(s),Corresponding Author Email
40624840,"Impact of antibody Fc engineering on translational pharmacology, and safety: insights from industry case studies.",2025,Frank R Brennan; J Ryan Polli; Melissa Ramones; Babette Wolf; Tilman Schlothauer; Shirley J Peters; David L Wensel; Derrick Witcher; Patricia C Ryan; T Scott Manetz; Birgit Fogal; Lindsey Dzielak; Xiaoting Wang; Michael Doyle; Nidhi Sharda; Mary Struthers; Eric Stefanich; Masaki Honda; David P Humphreys,"Discovery Research, UCB Pharma, Slough, UK.; Pharmacokinetic Sciences, Translational Medicine, Novartis Biomedical Research, Cambridge, MA, USA.; Biologics Research Center, Novartis Biomedical Research, Cambridge, MA, USA.; Preclinical Safety, Translational Medicine, Novartis Biomedical Research, Basel, Switzerland.; Roche Pharmaceutical Research and Early Development, Roche Innovation Center Munich, Penzberg, Germany.; Discovery Research, UCB Pharma, Slough, UK.; ViiV Healthcare, Branford, CT, USA.; Eli Lilly and Company, Indianapolis, IN, USA.; Immune Safety, Clinical Pharmacology and Safety Sciences, Biopharmaceutical R&D, AstraZeneca, Gaithersburg, MD, USA.; Immune Safety, Clinical Pharmacology and Safety Sciences, Biopharmaceutical R&D, AstraZeneca, Gaithersburg, MD, USA.; Boehringer Ingelheim Pharmaceuticals Inc., Nonclinical Drug Safety, Ridgefield, CT, USA.; Boehringer Ingelheim Pharmaceuticals Inc., Nonclinical Drug Safety, Ridgefield, CT, USA.; Amgen Research, Amgen Inc, South San Francisco, CA, USA.; Bristol-Myers Squibb, Princeton, NJ, USA.; Bristol-Myers Squibb, Princeton, NJ, USA.; Bristol-Myers Squibb, Princeton, NJ, USA.; Translational Pharmacokinetics and Pharmacodynamics, Genentech Inc, South San Francisco, CA, USA.; Chugai Pharmaceutical Co., Ltd, Kanagawa, Japan.; Discovery Research, UCB Pharma, Slough, UK.",N/A
40624839,Novel approaches for the discovery of pharmacogenetic biomarkers of chemotoxicity in patients with colorectal cancer.,2025,María Del Carmen Lopez-Doldan; Maria Perfecta Fernandez; Augusto Rojas,"Oncological Pharmacy Unit, Complexo Hospitalario Universitario de Ourense, Ourense, Spain.; Oncological Pharmacy Unit, Complexo Hospitalario Universitario de Ourense, Ourense, Spain.; Tecnologico de Monterrey, School of Medicine and Health Sciences, Monterrey, Mexico.",N/A
40624821,Risk Stratification for Diffuse Large B-Cell Lymphoma by Integrating Interim ,2025,Yong Sun; Bei Yu; Xiaofei Ye,"Kindstar Biotech, Wuhan, China.; Kindstar Biotech, Wuhan, China.; Kindstar Biotech, Wuhan, China.",N/A
40624638,Mitigation of chemotherapy-induced gut dysbiosis and diarrhea by supplementation with heat-killed Bacteroides fragilis.,2025,Lijun Zheng; Yangyang Liu; Yuqing Lin; Wei Wang; Ping Li,"Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.",N/A
40624317,The changing landscape of medicinal chemistry optimization.,2025,Maximilian Beckers; Nikolas Fechner; Nikolaus Stiefl; Finton Sirockin; Emma Evertsson; Malin Lemurell; Gergely Makara,"Biomedical Research, Novartis Pharma AG, Basel, Switzerland.; Biomedical Research, Novartis Pharma AG, Basel, Switzerland.; Biomedical Research, Novartis Pharma AG, Basel, Switzerland.; Biomedical Research, Novartis Pharma AG, Basel, Switzerland.; Medicinal Chemistry, Research and Early Development Respiratory and Immunology BioPharmaceuticals R&D, AstraZeneca, Gothenburg, Sweden.; Medicinal Chemistry, Research and Early Development Cardiovascular, Renal and Metabolism BioPharmaceuticals R&D, AstraZeneca, Gothenburg, Sweden.; ChemPass Ltd, Budapest, Hungary.",N/A
40624141,"Structure-based design of an antibacterial peptide from the Myotoxin II sequence, evaluating its effectiveness against Gram-negative bacteria and its safety.",2025,James Guevara-Pulido,"Química Farmacéutica, INQA, Universidad El Bosque, Bogotá, Colombia. joguevara@unbosque.edu.co.",joguevara@unbosque.edu.co.
40623182,An aminosterol breaks the autocatalytic cycle of Aβ,2025,Denise Barbut; Michael Zasloff,"BAZ Therapeutics, Inc., Philadelphia, PA 19103.; BAZ Therapeutics, Inc., Philadelphia, PA 19103.",N/A
40622328,The Xenometabolome of Early-Life Stage Salmonids Exposed to 6PPD-Quinone.,2025,Jennifer Corker; Jodi Westcott; Bradlee Germain; Michael J Martin,"Cayman Chemical Company, Ann Arbor 48108, Michigan, United States.; Cayman Chemical Company, Ann Arbor 48108, Michigan, United States.; Cayman Chemical Company, Ann Arbor 48108, Michigan, United States.; Cayman Chemical Company, Ann Arbor 48108, Michigan, United States.",N/A
40621551,AI meets physics in computational structure-based drug discovery for GPCRs.,2025,Mayako Michino; Jeremie Vendome,"Sanders Tri-Institutional Therapeutics Discovery Institute, New York, NY USA.; Schrödinger, Inc., New York, NY USA.",N/A
40621073,Compound K-enriched Korean red ginseng prevents lung cancer progression by targeting cancer cells and fibroblasts.,2025,Ha Suk Song,"Nutrapanax Co., Ltd., Seoul, South Korea.",N/A
40619999,A Dendritic Cell-Nanogel Conjugate for Tumor-Draining Lymph Node-Specific PD-L1 Blockade.,2025,Wenzhe Yi; Xindi Qian; Dan Yan; Wenlu Yan; Shuangshuang Hu; Yaping Li,"State Key Laboratory of Drug Research & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Drug Research & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Drug Research & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Drug Research & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Drug Research & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Drug Research & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.",N/A
40619791,A Targeted Redox-Active Dual-Action Pt(IV)-Mn(II) Prodrug Displays Enhanced In Vivo Anticancer Activity.,2025,Giulia Adriani,"Singapore Immunology Network (SIgN), Agency for Science, Technology and Research (A*STAR), 8A Biomedical Grove, Immunos, 138648, Singapore.",N/A
